,city,latitude,longitude,max_temperature,humidity,cloudiness,wind_speed
475,Kusa,55.34,59.44,6.93,67,91,2.86
476,Bathsheba,13.22,-59.52,26.0,74,20,6.7
477,Khorixas,-20.37,14.97,28.57,32,0,4.56
478,Xai-Xai,-25.05,33.64,29.98,48,0,2.92
479,Niamey,13.51,2.11,30.0,22,2,1.0
480,Arlit,18.74,7.39,36.2,8,0,6.78
481,Kristinestad,62.27,21.38,3.89,93,100,7.39
482,Yuli,9.7,10.27,32.77,22,97,1.49
483,Tautira,-17.73,-149.15,28.0,74,20,1.0
484,Guozhen,34.37,107.36,20.87,17,0,3.09
485,Najrān,17.49,44.13,31.0,22,35,1.51
486,Sokolo,14.73,-6.12,33.09,32,50,7.1
487,Haapiti,-17.57,-149.87,28.0,74,20,1.0
488,Xingcheng,40.62,120.72,15.77,30,0,3.22
489,Malakal,9.53,31.66,37.96,7,85,4.21
490,Sumbe,-11.21,13.84,26.24,83,100,3.55
491,Oriximiná,-1.77,-55.87,23.9,94,31,1.36
492,Juneau,58.3,-134.42,2.78,80,1,1.54
493,High Prairie,55.43,-116.49,-10.01,88,10,2.88
494,Deputatsky,69.3,139.9,-12.12,89,35,3.79
495,Matara,5.95,80.54,30.9,67,13,4.26
496,Zyryanka,65.75,150.85,-2.53,96,95,3.32
497,Sola,-13.88,167.55,27.6,75,100,5.36
498,Point Pedro,9.82,80.23,29.8,67,8,4.78
499,Kushmurun,52.45,64.63,12.42,42,10,2.1
500,Nawabshah,26.25,68.41,42.54,7,18,5.37
501,Alegrete,-29.78,-55.79,12.06,90,4,3.64
502,Ancud,-41.87,-73.82,2.0,100,0,2.1
503,Mwense,-10.38,28.7,25.86,50,91,2.49
504,Jiaozuo,35.24,113.23,22.37,18,0,4.14
505,Altamira,-3.2,-52.21,22.28,95,47,0.5
506,Port Hedland,-20.32,118.57,32.0,55,37,8.7
507,Anadyr,64.75,177.48,-12.0,78,90,7.0
508,Yatou,37.15,122.38,9.42,66,0,7.11
509,Guáimaro,21.05,-77.35,21.21,92,0,3.36
510,Jijiga,9.35,42.8,25.56,29,53,3.16
511,Assiut,27.18,31.18,24.33,24,0,5.27
512,Chiang Khong,20.26,100.4,36.67,34,94,2.19
513,Meulaboh,4.14,96.13,29.16,74,100,1.55
514,Luwuk,-0.95,122.79,30.07,63,15,1.07
515,Broadstairs,51.36,1.44,16.11,62,25,3.6
516,Sayyan,15.17,44.32,22.59,20,32,1.8
517,Worthington,40.09,-83.02,9.44,49,90,2.6
518,New Philadelphia,40.49,-81.45,9.0,69,1,1.5
519,Le Port,-20.94,55.29,27.0,88,30,7.2
520,Malinyi,-8.93,36.13,25.63,77,98,0.13
521,Kalmunai,7.42,81.82,31.1,63,19,4.35
522,Saryg-Sep,51.5,95.6,10.31,42,100,1.57
523,Carauari,-4.88,-66.9,22.35,97,100,0.92
524,Bria,6.54,21.99,26.22,68,100,2.12
525,Damietta,31.42,31.81,18.93,58,0,1.97
526,Gariāband,20.64,82.06,40.83,7,0,4.0
527,Sikonge,-5.63,32.77,24.6,50,100,3.02
528,Lapua,62.97,23.01,1.67,93,90,6.2
529,Yārāda,17.65,83.27,36.0,47,20,5.1
530,Dalvik,65.97,-18.53,-1.0,63,90,3.6
531,Dunedin,-45.87,170.5,16.67,70,100,8.13
532,Nokha,27.6,73.42,37.5,14,70,4.12
533,Baturaja,-4.13,104.17,30.31,75,98,0.83
534,Kodinsk,58.69,99.18,8.63,50,0,0.98
535,Camopi,3.17,-52.32,23.04,91,100,1.21
536,Alofi,-19.06,-169.92,24.0,83,0,1.5
537,Atotonilquillo,20.4,-103.13,18.0,34,5,2.1
538,Bada,51.39,109.87,14.41,26,55,4.4
539,Tiznit Province,29.58,-9.5,14.61,64,100,2.11
540,Theodoriana,39.44,21.21,16.67,58,40,1.21
541,Kayerkan,69.35,87.76,-7.0,92,75,10.0
542,Praia,14.92,-23.51,21.0,83,20,3.6
543,Saint-Augustin,51.23,-58.65,-4.7,95,9,4.36
544,Maningrida,-12.07,134.27,27.53,82,100,3.56
545,Camalú,30.85,-116.07,12.78,67,50,3.64
546,Adrar,20.5,-10.07,25.67,24,0,6.25
547,Mahon,39.89,4.27,16.0,82,24,4.1
548,Rongcheng,30.63,117.85,17.78,54,0,3.78
549,Constitución,-35.33,-72.42,10.02,72,0,2.84
550,Burdur,37.72,30.29,13.0,54,15,1.5
551,Killybegs,54.63,-8.45,7.22,95,100,0.89
552,Maceió,-9.67,-35.74,25.89,82,60,2.56
553,Yibin,28.77,104.62,22.5,36,36,2.59
554,Talaya,61.38,152.75,-9.24,88,94,1.02
555,Murray Bridge,-35.12,139.27,17.22,62,100,1.79
556,Neryungri,56.67,124.65,0.19,70,100,4.38
557,Eureka,40.8,-124.16,10.56,93,90,2.6
558,Cedar Falls,42.53,-92.45,8.89,100,90,2.6
559,Kyshtovka,56.55,76.63,6.34,77,80,4.24
560,Kismayo,-0.36,42.55,31.11,62,84,4.8
561,La Palma,33.85,-118.05,15.56,82,90,1.5
562,Hirado,33.36,129.55,13.0,82,75,8.2
563,Chapais,49.78,-74.85,-9.0,85,1,2.6
564,Buchanan,5.88,-10.05,29.11,74,9,0.74
565,Mugur-Aksy,50.35,90.5,6.28,25,17,1.66
566,Sovetskiy,61.36,63.58,7.93,72,100,2.86
567,Sisimiut,66.94,-53.67,3.16,75,100,4.29
568,Asheville,35.6,-82.55,8.33,52,1,1.6
569,Godfrey,38.96,-90.19,16.0,51,90,3.6
570,Ko Samui,9.54,99.94,32.0,66,20,4.1
571,Latung,5.5,120.88,28.52,69,0,2.12
572,Vrdy,49.92,15.47,14.44,50,0,2.1
573,Anapskaya,44.89,37.38,11.0,43,0,6.0
574,Turbat,26.0,63.04,36.09,11,5,5.05
575,Zharkent,44.16,80.0,23.89,16,50,2.84
576,Kavaratti,10.57,72.64,29.48,69,75,2.84
577,Pouso Alegre,-22.23,-45.94,13.89,92,2,0.71
578,Riyadh,24.69,46.72,23.0,31,75,5.1
579,Ofakim,31.31,34.62,19.44,68,0,0.45
580,Saýat,38.78,63.88,17.0,72,90,3.1
581,Broken Hill,-31.95,141.43,18.0,27,52,3.6
582,Abnūb,27.27,31.15,24.3,24,0,5.27
583,Cap Malheureux,-19.98,57.61,29.0,66,40,8.7
