,city,latitude,longitude,max_temperature,humidity,cloudiness,wind_speed,hotel name,hotel address
0,Yumen,40.28,97.2,18.38,10,17,2.54,,
1,Gariāband,20.64,82.06,40.83,7,0,4.0,,
